15:03:41.935 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Setting uncaught exception handler org.apache.hyracks.api.lifecycle.LifeCycleComponentManager@16414e40
15:03:41.961 [main] INFO  org.apache.hyracks.util.MXHelper - Access to file descriptors (FDs) is not available on Windows; FD info will not be logged
15:03:41.963 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Starting NodeControllerService
15:03:42.203 [main] INFO  org.apache.hyracks.util.trace.Tracer - Initialize Tracer org.apache.hyracks.util.trace.Tracer.Traces.asterix_nc1
15:03:42.209 [main] INFO  org.apache.hyracks.util.trace.Tracer - Set categories for Tracer org.apache.hyracks.util.trace.Tracer.Traces.asterix_nc1 to []
15:03:42.211 [main] INFO  org.apache.hyracks.util.LoggingConfigUtil - Setting org.apache.hyracks log level to INFO
15:03:42.212 [main] INFO  org.apache.hyracks.util.LoggingConfigUtil - Setting org.apache.asterix log level to INFO
15:03:42.216 [main] INFO  org.apache.asterix.hyracks.bootstrap.ApplicationConfigurator - Found JRE version 17.0.1
15:03:42.216 [main] WARN  org.apache.asterix.hyracks.bootstrap.ApplicationConfigurator - JRE version "17.0.1" is untested
15:03:42.475 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - Starting Asterix node controller: asterix_nc1
15:03:42.673 [main] INFO  org.apache.asterix.app.nc.TransactionSubsystem - Checkpoint Properties: {"class" : "CheckpointProperties", "checkpoint-dir-path" : "data/red/txnlog", "lsn-threshold" : 67108864, "poll-frequency" : 120, "history-to-keep" : 2, "dataset-checkpoint-interval" : 3600}
15:03:42.679 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Checkpoint directory = data/red/txnlog
15:03:42.679 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Checkpoint directory data/red/txnlog\ didn't exist. Creating one
15:03:42.680 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:03:42.680 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned empty
15:03:42.689 [main] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - the log dir (data/red/txnlog) is empty. returning empty list
15:03:42.717 [main] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - Created log file data/red/txnlog\transaction_log_0
15:03:42.717 [main] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - initializing log anchor with log file Id: 0 at offset: 0
15:03:42.718 [main] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - LogManager starts logging in LSN: 0
15:03:42.724 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:03:42.725 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned empty
15:03:42.726 [main] INFO  org.apache.asterix.app.nc.RecoveryManager - The checkpoint file doesn't exist: systemState = PERMANENT_DATA_LOSS
15:03:42.726 [main] WARN  org.apache.asterix.app.nc.NCAppRuntimeContext - Deleting the storage dir. initialRun = false, systemState = PERMANENT_DATA_LOSS
15:03:42.731 [main] INFO  org.apache.asterix.app.nc.NCAppRuntimeContext - The value of maxConcurrentFlushes is not provided. Setting maxConcurrentFlushes = 1.
15:03:42.821 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:03:42.822 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned empty
15:03:42.822 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:03:42.823 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned empty
15:03:42.823 [main] INFO  org.apache.asterix.app.nc.RecoveryManager - The checkpoint file doesn't exist: systemState = PERMANENT_DATA_LOSS
15:03:42.823 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - System state: PERMANENT_DATA_LOSS
15:03:42.823 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - Node ID: asterix_nc1
15:03:42.824 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - Stores: {asterix_nc1=[data/red\storage], asterix_nc2=[data/blue\storage]}
15:03:43.026 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - addCc: /127.0.0.1:1099
